underlying_id,valuedate,settle_value,ticker
BO  N6,14-Jul-15,33.09,BON6 Comdty
BO  K7,14-Jul-15,33.25,BOK7 Comdty
BO  F6,14-Jul-15,33.01,BOF16 Comdty
BO  U7,14-Jul-15,33.31,BOU7 Comdty
BO  N5,14-Jul-15,32.32,BON15 Comdty
BO  V6,14-Jul-15,32.88,BOV6 Comdty
BO  U5,14-Jul-15,32.48,BOU15 Comdty
BO  V5,14-Jul-15,32.56,BOV15 Comdty
BO  Z6,14-Jul-15,32.95,BOZ6 Comdty
BO  H6,14-Jul-15,33.1,BOH6 Comdty
BO  Q5,14-Jul-15,32.4,BOQ15 Comdty
BO  H7,14-Jul-15,33.15,BOH7 Comdty
BO  U6,14-Jul-15,33.02,BOU6 Comdty
BO  Q7,14-Jul-15,33.32,BOQ7 Comdty
BO  V8,14-Jul-15,33.48,BOV8 Comdty
BO  Z7,14-Jul-15,33.48,BOZ7 Comdty
BO  F7,14-Jul-15,33.05,BOF7 Comdty
BO  Z8,14-Jul-15,33.48,BOZ8 Comdty
BO  N7,14-Jul-15,33.36,BON7 Comdty
BO  K6,15-Jul-15,32.29,BOK6 Comdty
BO  Z5,15-Jul-15,32.02,BOZ5 Comdty
BO  Q6,15-Jul-15,32.31,BOQ6 Comdty
BO  N6,15-Jul-15,32.34,BON6 Comdty
BO  V7,15-Jul-15,32.52,BOV7 Comdty
BO  K7,15-Jul-15,32.44,BOK7 Comdty
BO  N8,15-Jul-15,32.67,BON8 Comdty
BO  F6,15-Jul-15,32.21,BOF16 Comdty
BO  H6,15-Jul-15,32.31,BOH6 Comdty
BO  V5,15-Jul-15,31.8,BOV15 Comdty
BO  Z6,15-Jul-15,32.14,BOZ6 Comdty
BO  Q5,15-Jul-15,31.65,BOQ15 Comdty
BO  V6,15-Jul-15,32.15,BOV6 Comdty
BO  U6,15-Jul-15,32.28,BOU6 Comdty
BO  U5,15-Jul-15,31.73,BOU15 Comdty
BO  U7,15-Jul-15,32.5,BOU7 Comdty
BO  H7,15-Jul-15,32.34,BOH7 Comdty
BO  Q7,15-Jul-15,32.51,BOQ7 Comdty
BO  Z7,15-Jul-15,32.67,BOZ7 Comdty
BO  V8,15-Jul-15,32.67,BOV8 Comdty
BO  N7,15-Jul-15,32.55,BON7 Comdty
BO  F7,15-Jul-15,32.24,BOF7 Comdty
BO  Z8,15-Jul-15,32.67,BOZ8 Comdty
BO  Q6,16-Jul-15,32.11,BOQ6 Comdty
BO  N6,16-Jul-15,32.14,BON6 Comdty
BO  N8,16-Jul-15,32.49,BON8 Comdty
BO  Z5,16-Jul-15,31.8,BOZ5 Comdty
BO  U7,16-Jul-15,32.32,BOU7 Comdty
BO  K6,16-Jul-15,32.08,BOK6 Comdty
BO  U6,16-Jul-15,32.06,BOU6 Comdty
BO  V7,16-Jul-15,32.34,BOV7 Comdty
BO  Z6,16-Jul-15,31.96,BOZ6 Comdty
BO  K7,16-Jul-15,32.26,BOK7 Comdty
BO  Z7,16-Jul-15,32.49,BOZ7 Comdty
BO  V6,16-Jul-15,31.92,BOV6 Comdty
BO  N7,16-Jul-15,32.37,BON7 Comdty
BO  U5,16-Jul-15,31.54,BOU15 Comdty
BO  H7,16-Jul-15,32.16,BOH7 Comdty
BO  V5,16-Jul-15,31.61,BOV15 Comdty
BO  F6,16-Jul-15,32,BOF16 Comdty
BO  Q5,16-Jul-15,31.46,BOQ15 Comdty
BO  H6,16-Jul-15,32.1,BOH6 Comdty
BO  V8,16-Jul-15,32.49,BOV8 Comdty
BO  F7,16-Jul-15,32.06,BOF7 Comdty
BO  Z8,16-Jul-15,32.49,BOZ8 Comdty
BO  Q7,16-Jul-15,32.33,BOQ7 Comdty
BO  N6,17-Jul-15,32.46,BON6 Comdty
BO  Q6,17-Jul-15,32.42,BOQ6 Comdty
BO  Z5,17-Jul-15,32.16,BOZ5 Comdty
BO  K6,17-Jul-15,32.41,BOK6 Comdty
BO  U7,17-Jul-15,32.67,BOU7 Comdty
BO  U6,17-Jul-15,32.38,BOU6 Comdty
BO  Z6,17-Jul-15,32.32,BOZ6 Comdty
BO  V5,17-Jul-15,31.94,BOV15 Comdty
BO  V6,17-Jul-15,32.27,BOV6 Comdty
BO  H6,17-Jul-15,32.47,BOH6 Comdty
BO  F7,17-Jul-15,32.41,BOF7 Comdty
BO  Q5,17-Jul-15,31.78,BOQ15 Comdty
BO  N8,17-Jul-15,32.84,BON8 Comdty
BO  U5,17-Jul-15,31.87,BOU15 Comdty
BO  Z8,17-Jul-15,32.84,BOZ8 Comdty
BO  F6,17-Jul-15,32.37,BOF16 Comdty
BO  Q7,17-Jul-15,32.68,BOQ7 Comdty
